Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
110.0475,113.6178,94.86615,9024.122,-47,-0.5060318,27.27677,58.12125,11.17 yds,98.46558,-1.347565,-0.2984128,119.6842,0,GW,84.8745,1.476267,-9.2056,0,0,0,0,0,0,0,0,1.117723
116.7037,121.0443,95.76856,8569.631,-104,-0.5161663,27.98883,55.33781,10.98 ft,99.29373,-1.777497,-0.6953517,121.1971,0,GW,84.56652,1.153385,-7.573824,0,0,0,0,0,0,0,0,1.132464
116.3393,120.362,95.81775,9429.055,32,-0.8092645,27.22139,54.53205,13.32 ft,96.95168,-1.50466,0.1944488,120.3097,0,GW,86.35345,1.013263,-8.259252,0,0,0,0,0,0,0,0,1.109599
96.45782,98.72478,94.9574,9524.014,16,-0.350897,26.94282,66.74154,26.6 yds,105.3208,-0.6350431,0.09625489,119.1289,0,GW,84.81622,1.878267,-7.956183,0,0,0,0,0,0,0,0,1.119566
108.1028,111.3093,95.90822,9098.978,-269,0.1620918,26.62839,60.20237,14.49 yds,100.5181,-1.350536,-1.694126,121.4931,0,GW,84.87713,1.455868,-8.555738,0,0,0,0,0,0,0,0,1.129965
102.5904,105.3361,95.70557,9069.529,-253,-0.7725902,27.64869,63.2356,20.9 yds,106.0294,-3.208075,-1.598508,120.4078,0,GW,86.70107,1.609282,-8.120358,0,0,0,0,0,0,0,0,1.103857
147.2114,151.8308,112.0217,6499.521,181,0.3944877,21.69762,54.10597,71.24 yds,107.8486,3.23025,1.595791,154.4674,0,I8,88.09241,0.9429468,-7.170177,0,0,0,0,0,0,0,0,1.271638
149.1509,155.8587,111.3854,6349.044,299,-1.03708,21.70316,52.40289,14.17 ft,104.9781,0.8242744,2.699269,154.0139,0,I8,87.09715,-0.7211311,-7.363896,0,0,0,0,0,0,0,0,1.278864
150.1313,155.0274,112.3995,6224.138,-119,-1.671685,21.32854,52.5976,83.85 yds,106.0697,-6.045808,-1.095511,156.1698,0,I8,87.9669,-0.305028,-6.977989,0,0,0,0,0,0,0,0,1.277747
131.5259,134.4449,113.7225,6459.159,202,-1.33778,22.57769,64.09218,71.36 yds,125.1333,-1.142829,1.792127,156.6995,0,I8,89.94505,-0.8697106,-7.020345,0,0,0,0,0,0,0,0,1.264355
134.2896,137.3793,114.1309,6664.021,476,0.933521,22.40692,62.77417,61.68 yds,123.6757,8.34996,4.09603,156.6734,0,I8,89.62553,0.004271126,-7.365654,0,0,0,0,0,0,0,0,1.27342
134.9021,137.9964,113.7236,6604.803,103,-1.285489,21.54518,62.07117,72.93 yds,119.0156,-2.263227,0.8935474,156.8492,0,I8,89.08886,-0.3160086,-6.879736,0,0,0,0,0,0,0,0,1.276519
195.9789,202.6683,133.3669,4374.902,129,-0.5644387,14.27838,48.07797,94.68 yds,103.7148,1.08678,1.68969,202.6958,0,I5,94.86419,-0.6055318,-5.569444,0,0,0,0,0,0,0,0,1.405871
189.0357,194.9784,131.8191,4389.53,176,-0.5346112,15.06231,50.95308,87.35 yds,108.5424,2.258153,2.297914,199.9236,0,I5,93.20614,0.1117898,-5.723154,0,0,0,0,0,0,0,0,1.414275
184.2786,190.808,126.8316,4414.981,469,0.7053826,15.84814,48.12429,76.36 yds,101.2278,12.43055,6.097991,190.4686,0,I5,93.69963,-0.6370665,-4.868317,0,0,0,0,0,0,0,0,1.353598
179.8291,184.3605,132.5015,4374.945,228,0.1126036,16.06756,57.16337,76.75 yds,121.4744,5.85972,2.987319,201.3136,0,I5,94.69115,0.02351848,-4.409606,0,0,0,0,0,0,0,0,1.399301
168.5756,172.1379,131.0901,4359.777,243,0.1565466,15.78733,61.64497,68.96 yds,121.898,6.239174,3.195139,198.8647,0,I5,93.35839,-0.4989935,-4.763195,0,0,0,0,0,0,0,0,1.40416
175.995,180.2833,131.7858,4539.923,300,-0.09798224,15.56997,58.00245,86.15 yds,117.8633,6.50162,3.78889,198.7744,0,I5,95.06489,-0.5824831,-5.300594,0,0,0,0,0,0,0,0,1.386272
226.1106,229.2734,146.9263,3464.809,320,-0.4258,9.665858,39.83885,112.07 yds,84.79247,8.759127,5.299229,230.5622,0,W5,100.1748,-0.7487309,-4.971355,0,0,0,0,0,0,0,0,1.466699
222.9412,231.5972,144.1364,3414.403,504,0.1338462,11.82405,42.91574,104.51 yds,95.39825,17.15681,8.488448,227.7328,0,W5,100.8207,-0.4584488,-2.910947,0,0,0,0,0,0,0,0,1.429631
